River,Site,Date,AFDM (mg),Shell length (mm),Average DO (mg/L)
York,D10,"May 25, 2004",2,8.0,1.08
York,D3,"May 25, 2004",21,14.3,1.77
York,D3,"May 25, 2004",11,11.1,1.77
York,D3,"May 25, 2004",7,10.5,1.77
York,D3,"May 25, 2004",461,30.2,1.77
York,D3,"May 25, 2004",378,29.6,1.77
York,D5,"May 25, 2004",10,11.9,2.74
York,D5,"May 25, 2004",8,10.7,2.74
York,D5,"May 25, 2004",5,9.4,2.74
York,D5,"May 25, 2004",9,10.2,2.74
York,D5,"May 25, 2004",7,10.8,2.74
York,D5,"May 25, 2004",19,13.9,2.74
York,D5,"May 25, 2004",6,10.0,2.74
York,D5,"May 25, 2004",6,10.2,2.74
York,D7,"May 25, 2004",3,10.2,3.14
York,D7,"May 25, 2004",5,9.9,3.14
York,D7,"May 25, 2004",4,9.7,3.14
York,D7,"May 25, 2004",4,10.0,3.14
York,D7,"May 25, 2004",2,9.0,3.14
York,D7,"May 25, 2004",5,9.0,3.14
York,D7,"May 25, 2004",5,10.6,3.14
York,D7,"May 25, 2004",5,10.0,3.14
York,D7,"May 25, 2004",7,12.0,3.14
York,D7,"May 25, 2004",5,10.0,3.14
York,D7,"May 25, 2004",5,10.0,3.14
York,D7,"May 25, 2004",4,10.4,3.14
York,D7,"May 25, 2004",6,11.0,3.14
York,D7,"May 25, 2004",5,10.6,3.14
York,D7,"May 25, 2004",3,9.6,3.14
York,D8,"May 25, 2004",15,13.0,1.43
York,D8,"May 25, 2004",14,13.0,1.43
York,D8,"May 25, 2004",13,13.0,1.43
York,D8,"May 25, 2004",13,12.8,1.43
York,D8,"May 25, 2004",7,11.4,1.43
York,D8,"May 25, 2004",5,9.6,1.43
York,D8,"May 25, 2004",27,15.5,1.43
York,D8,"May 25, 2004",14,13.8,1.43
York,D8,"May 25, 2004",22,14.0,1.43
York,D8,"May 25, 2004",11,12.2,1.43
York,D8,"May 25, 2004",25,16.4,1.43
York,D8,"May 25, 2004",26,15.0,1.43
York,D8,"May 25, 2004",5,11.0,1.43
York,D9,"May 25, 2004",2,7.0,2.13
York,D9,"May 25, 2004",2,9.0,2.13
York,M0,"May 25, 2004",217,25.9,3.44
York,M0,"May 25, 2004",113,22.5,3.44
York,M0,"May 25, 2004",7,10.8,3.44
York,M0,"May 25, 2004",9,12.0,3.44
York,M0,"May 25, 2004",4,10.0,3.44
York,M0,"May 25, 2004",8,10.7,3.44
York,M0,"May 25, 2004",9,10.4,3.44
York,M0,"May 25, 2004",7,10.0,3.44
York,M0,"May 25, 2004",5,9.9,3.44
York,M0,"May 25, 2004",5,10.6,3.44
York,M0,"May 25, 2004",5,10.0,3.44
York,M1,"May 25, 2004",9,12.9,3.91
York,M1,"May 25, 2004",10,12.4,3.91
York,M1,"May 25, 2004",7,11.1,3.91
York,M1,"May 25, 2004",13,12.8,3.91
York,M1,"May 25, 2004",6,11.1,3.91
York,M1,"May 25, 2004",9,12.0,3.91
York,M1,"May 25, 2004",8,10.2,3.91
York,M1,"May 25, 2004",9,10.7,3.91
York,M1,"May 25, 2004",13,13.2,3.91
York,M1,"May 25, 2004",12,12.4,3.91
York,M1,"May 25, 2004",17,13.6,3.91
York,M1,"May 25, 2004",16,12.8,3.91
York,M1,"May 25, 2004",4,9.5,3.91
York,M1,"May 25, 2004",7,10.1,3.91
York,M1,"May 25, 2004",6,10.0,3.91
York,M1,"May 25, 2004",6,10.4,3.91
York,M1,"May 25, 2004",7,11.2,3.91
York,M1,"May 25, 2004",8,11.8,3.91
York,M1,"May 25, 2004",11,12.7,3.91
York,M1,"May 25, 2004",7,11.5,3.91
York,M1,"May 25, 2004",10,12.0,3.91
York,M1,"May 25, 2004",4,9.5,3.91
York,M1,"May 25, 2004",10,12.4,3.91
York,M1,"May 25, 2004",7,11.4,3.91
York,M10,"May 25, 2004",4,10.0,3.54
York,M10,"May 25, 2004",4,10.0,3.54
York,M10,"May 25, 2004",12,14.2,3.54
York,M10,"May 25, 2004",10,12.0,3.54
York,M10,"May 25, 2004",6,10.3,3.54
York,M10,"May 25, 2004",5,10.5,3.54
York,M2,"May 25, 2004",22,14.7,3.13
York,M2,"May 25, 2004",12,12.3,3.13
York,M2,"May 25, 2004",13,12.3,3.13
York,M2,"May 25, 2004",19,13.6,3.13
York,M2,"May 25, 2004",13,12.2,3.13
York,M2,"May 25, 2004",10,12.4,3.13
York,M2,"May 25, 2004",10,11.0,3.13
York,M2,"May 25, 2004",6,10.2,3.13
York,M2,"May 25, 2004",9,12.0,3.13
York,M2,"May 25, 2004",14,12.6,3.13
York,M2,"May 25, 2004",6,11.0,3.13
York,M2,"May 25, 2004",10,11.2,3.13
York,M2,"May 25, 2004",15,13.7,3.13
York,M2,"May 25, 2004",15,12.9,3.13
York,M2,"May 25, 2004",156,23.6,3.13
York,M2,"May 25, 2004",188,23.3,3.13
York,M2,"May 25, 2004",159,25.3,3.13
York,M2,"May 25, 2004",18,13.8,3.13
York,M2,"May 25, 2004",3,9.0,3.13
York,M2,"May 25, 2004",9,12.2,3.13
York,M2,"May 25, 2004",8,11.7,3.13
York,M2,"May 25, 2004",16,12.2,3.13
York,M2,"May 25, 2004",10,12.0,3.13
York,M2,"May 25, 2004",5,11.3,3.13
York,M2,"May 25, 2004",2,9.0,3.13
York,M3,"May 25, 2004",5,10.3,3.27
York,M3,"May 25, 2004",9,11.5,3.27
York,M3,"May 25, 2004",7,10.7,3.27
York,M3,"May 25, 2004",6,10.5,3.27
York,M3,"May 25, 2004",7,10.5,3.27
York,M3,"May 25, 2004",8,11.0,3.27
York,M3,"May 25, 2004",2,9.0,3.27
York,M4,"May 25, 2004",4,9.9,2.99
York,M6,"May 25, 2004",13,13.1,3.40
York,M6,"May 25, 2004",8,10.8,3.40
York,M6,"May 25, 2004",10,12.0,3.40
York,M6,"May 25, 2004",9,11.4,3.40
York,M6,"May 25, 2004",8,10.7,3.40
York,M6,"May 25, 2004",244,25.6,3.40
York,M6,"May 25, 2004",278,26.6,3.40
York,M6,"May 25, 2004",10,12.2,3.40
York,M6,"May 25, 2004",13,12.9,3.40
York,M6,"May 25, 2004",14,12.8,3.40
York,M6,"May 25, 2004",12,12.8,3.40
York,M6,"May 25, 2004",21,14.7,3.40
York,M6,"May 25, 2004",14,13.6,3.40
York,M6,"May 25, 2004",7,10.4,3.40
York,M6,"May 25, 2004",5,10.4,3.40
York,M6,"May 25, 2004",10,11.5,3.40
York,M6,"May 25, 2004",7,10.0,3.40
York,M6,"May 25, 2004",16,14.4,3.40
York,M6,"May 25, 2004",6,11.2,3.40
York,M6,"May 25, 2004",9,12.0,3.40
York,M6,"May 25, 2004",13,12.3,3.40
York,M6,"May 25, 2004",13,13.4,3.40
York,M6,"May 25, 2004",24,12.9,3.40
York,M6,"May 25, 2004",12,11.9,3.40
York,M6,"May 25, 2004",8,11.4,3.40
York,M6,"May 25, 2004",8,10.4,3.40
York,M6,"May 25, 2004",14,13.5,3.40
York,M6,"May 25, 2004",11,12.0,3.40
York,M6,"May 25, 2004",4,9.0,3.40
York,M7,"May 25, 2004",40,18.6,2.96
York,M7,"May 25, 2004",60,18.2,2.96
York,M7,"May 25, 2004",28,15.3,2.96
York,M7,"May 25, 2004",28,15.2,2.96
York,M7,"May 25, 2004",58,17.3,2.96
York,M7,"May 25, 2004",34,15.9,2.96
York,M7,"May 25, 2004",94,19.5,2.96
York,M7,"May 25, 2004",79,19.6,2.96
York,M7,"May 25, 2004",97,19.5,2.96
York,M7,"May 25, 2004",90,19.4,2.96
York,M7,"May 25, 2004",6,9.8,2.96
York,M7,"May 25, 2004",4,9.1,2.96
York,M7,"May 25, 2004",84,20.1,2.96
York,M7,"May 25, 2004",47,19.0,2.96
York,M7,"May 25, 2004",89,20.7,2.96
York,M7,"May 25, 2004",97,20.9,2.96
York,M7,"May 25, 2004",106,22.7,2.96
York,M7,"May 25, 2004",99,21.0,2.96
York,M7,"May 25, 2004",95,20.3,2.96
York,M7,"May 25, 2004",41,18.4,2.96
York,M7,"May 25, 2004",16,15.5,2.96
York,M7,"May 25, 2004",17,14.1,2.96
York,M8,"May 25, 2004",8,11.7,3.49
York,M8,"May 25, 2004",7,11.0,3.49
York,M8,"May 25, 2004",6,11.4,3.49
York,M8,"May 25, 2004",5,9.0,3.49
York,S0,"May 25, 2004",73,21.2,4.18
York,S0,"May 25, 2004",73,20.0,4.18
York,S0,"May 25, 2004",64,20.0,4.18
York,S0,"May 25, 2004",76,21.7,4.18
York,S0,"May 25, 2004",69,20.1,4.18
York,S0,"May 25, 2004",71,20.3,4.18
York,S0,"May 25, 2004",64,19.7,4.18
York,S10,"May 25, 2004",4,8.6,4.18
York,S10,"May 25, 2004",143,21.9,4.18
York,S10,"May 25, 2004",124,21.5,4.18
York,S10,"May 25, 2004",167,23.3,4.18
York,S10,"May 25, 2004",227,25.3,4.18
York,S10,"May 25, 2004",114,21.5,4.18
York,S10,"May 25, 2004",132,20.4,4.18
York,S10,"May 25, 2004",224,24.7,4.18
York,S10,"May 25, 2004",146,22.9,4.18
York,S10,"May 25, 2004",232,25.3,4.18
York,S10,"May 25, 2004",181,23.4,4.18
York,S10,"May 25, 2004",184,22.7,4.18
York,S10,"May 25, 2004",195,24.1,4.18
York,S10,"May 25, 2004",264,26.2,4.18
York,S10,"May 25, 2004",5,10.0,4.18
York,S10,"May 25, 2004",5,9.4,4.18
York,S11,"May 25, 2004",12,12.2,4.75
York,S11,"May 25, 2004",7,10.7,4.75
York,S11,"May 25, 2004",19,14.4,4.75
York,S11,"May 25, 2004",4,10.2,4.75
York,S12,"May 25, 2004",71,20.0,4.97
York,S12,"May 25, 2004",72,20.5,4.97
York,S12,"May 25, 2004",36,17.3,4.97
York,S12,"May 25, 2004",3,9.4,4.97
York,S12,"May 25, 2004",116,22.6,4.97
York,S12,"May 25, 2004",95,20.8,4.97
York,S12,"May 25, 2004",90,20.8,4.97
York,S12,"May 25, 2004",97,21.7,4.97
York,S12,"May 25, 2004",103,20.5,4.97
York,S12,"May 25, 2004",98,21.1,4.97
York,S12,"May 25, 2004",128,22.5,4.97
York,S12,"May 25, 2004",99,21.1,4.97
York,S12,"May 25, 2004",111,20.7,4.97
York,S12,"May 25, 2004",147,23.9,4.97
York,S12,"May 25, 2004",129,24.9,4.97
York,S12,"May 25, 2004",104,22.5,4.97
York,S12,"May 25, 2004",130,21.6,4.97
York,S12,"May 25, 2004",83,20.2,4.97
York,S12,"May 25, 2004",137,22.3,4.97
York,S12,"May 25, 2004",87,20.7,4.97
York,S12,"May 25, 2004",146,22.9,4.97
York,S12,"May 25, 2004",98,21.5,4.97
York,S12,"May 25, 2004",141,22.5,4.97
York,S12,"May 25, 2004",67,18.8,4.97
York,S12,"May 25, 2004",66,20.3,4.97
York,S12,"May 25, 2004",100,21.0,4.97
York,S12,"May 25, 2004",97,21.5,4.97
York,S12,"May 25, 2004",109,22.1,4.97
York,S12,"May 25, 2004",120,23.0,4.97
York,S12,"May 25, 2004",106,22.1,4.97
York,S12,"May 25, 2004",114,21.7,4.97
York,S2,"May 25, 2004",6,11.4,4.67
York,S2,"May 25, 2004",15,15.0,4.67
York,S2,"May 25, 2004",12,14.0,4.67
York,S2,"May 25, 2004",8,11.4,4.67
York,S2,"May 25, 2004",4,9.8,4.67
York,S3,"May 25, 2004",29,15.7,5.47
York,S3,"May 25, 2004",22,14.4,5.47
York,S3,"May 25, 2004",22,15.0,5.47
York,S3,"May 25, 2004",36,15.6,5.47
York,S3,"May 25, 2004",23,14.4,5.47
York,S3,"May 25, 2004",25,14.7,5.47
York,S3,"May 25, 2004",19,14.0,5.47
York,S3,"May 25, 2004",16,13.2,5.47
York,S3,"May 25, 2004",13,12.5,5.47
York,S3,"May 25, 2004",346,28.6,5.47
York,S3,"May 25, 2004",16,13.3,5.47
York,S3,"May 25, 2004",19,13.6,5.47
York,S3,"May 25, 2004",21,13.9,5.47
York,S3,"May 25, 2004",18,13.1,5.47
York,S3,"May 25, 2004",20,14.0,5.47
York,S3,"May 25, 2004",12,12.3,5.47
York,S3,"May 25, 2004",11,12.0,5.47
York,S3,"May 25, 2004",10,11.4,5.47
York,S3,"May 25, 2004",9,12.9,5.47
York,S3,"May 25, 2004",34,16.6,5.47
York,S3,"May 25, 2004",36,16.2,5.47
York,S3,"May 25, 2004",20,13.7,5.47
York,S3,"May 25, 2004",31,15.8,5.47
York,S3,"May 25, 2004",32,16.8,5.47
York,S3,"May 25, 2004",16,13.0,5.47
York,S3,"May 25, 2004",32,16.7,5.47
York,S3,"May 25, 2004",33,15.4,5.47
York,S3,"May 25, 2004",36,16.2,5.47
York,S3,"May 25, 2004",24,14.9,5.47
York,S3,"May 25, 2004",26,15.2,5.47
York,S3,"May 25, 2004",19,14.4,5.47
York,S3,"May 25, 2004",11,12.0,5.47
York,S4,"May 25, 2004",8,10.0,3.93
York,S4,"May 25, 2004",6,10.2,3.93
York,S4,"May 25, 2004",3,7.7,3.93
York,S4,"May 25, 2004",10,11.2,3.93
York,S4,"May 25, 2004",2,4.7,3.93
York,S4,"May 25, 2004",99,21.2,3.93
York,S4,"May 25, 2004",129,22.3,3.93
York,S4,"May 25, 2004",156,23.9,3.93
York,S4,"May 25, 2004",163,24.4,3.93
York,S4,"May 25, 2004",169,26.1,3.93
York,S4,"May 25, 2004",131,22.4,3.93
York,S4,"May 25, 2004",171,24.2,3.93
York,S4,"May 25, 2004",122,22.9,3.93
York,S4,"May 25, 2004",216,28.6,3.93
York,S4,"May 25, 2004",221,26.1,3.93
York,S4,"May 25, 2004",254,26.3,3.93
York,S4,"May 25, 2004",191,26.7,3.93
York,S4,"May 25, 2004",202,26.5,3.93
York,S4,"May 25, 2004",130,22.8,3.93
York,S4,"May 25, 2004",179,25.4,3.93
York,S4,"May 25, 2004",174,24.2,3.93
York,S4,"May 25, 2004",166,24.0,3.93
York,S4,"May 25, 2004",6,10.4,3.93
York,S4,"May 25, 2004",152,23.4,3.93
York,S4,"May 25, 2004",215,23.9,3.93
York,S4,"May 25, 2004",175,25.1,3.93
York,S4,"May 25, 2004",156,23.2,3.93
York,S4,"May 25, 2004",149,24.1,3.93
York,S4,"May 25, 2004",133,22.9,3.93
York,S4,"May 25, 2004",162,23.8,3.93
York,S4,"May 25, 2004",139,23.0,3.93
York,S4,"May 25, 2004",387,27.4,3.93
York,S4,"May 25, 2004",2,9.2,3.93
York,S6,"May 25, 2004",1,7.0,3.82
York,S6,"May 25, 2004",74,20.2,3.82
York,S6,"May 25, 2004",84,21.4,3.82
York,S6,"May 25, 2004",100,22.6,3.82
York,S6,"May 25, 2004",144,22.1,3.82
York,S6,"May 25, 2004",103,20.3,3.82
York,S6,"May 25, 2004",87,19.9,3.82
York,S6,"May 25, 2004",66,18.9,3.82
York,S6,"May 25, 2004",344,35.5,3.82
York,S6,"May 25, 2004",5,10.5,3.82
York,S6,"May 25, 2004",86,19.5,3.82
York,S6,"May 25, 2004",65,18.6,3.82
York,S6,"May 25, 2004",78,19.4,3.82
York,S7,"May 25, 2004",155,24.2,4.71
York,S7,"May 25, 2004",218,28.6,4.71
York,S7,"May 25, 2004",213,25.6,4.71
York,S7,"May 25, 2004",135,23.7,4.71
York,S7,"May 25, 2004",128,23.1,4.71
York,S7,"May 25, 2004",5,10.1,4.71
York,S7,"May 25, 2004",4,8.7,4.71
York,S7,"May 25, 2004",2,9.0,4.71
York,S7,"May 25, 2004",128,23.7,4.71
York,S7,"May 25, 2004",129,22.5,4.71
York,S7,"May 25, 2004",185,23.9,4.71
York,S7,"May 25, 2004",174,25.8,4.71
York,S7,"May 25, 2004",107,21.6,4.71
York,S7,"May 25, 2004",129,23.0,4.71
York,S7,"May 25, 2004",57,19.1,4.71
York,S7,"May 25, 2004",50,19.1,4.71
York,S7,"May 25, 2004",144,23.1,4.71
York,S7,"May 25, 2004",62,19.1,4.71
York,S7,"May 25, 2004",103,20.9,4.71
York,S7,"May 25, 2004",54,19.2,4.71
York,S7,"May 25, 2004",78,19.8,4.71
York,S7,"May 25, 2004",68,19.7,4.71
York,S7,"May 25, 2004",51,18.2,4.71
York,S7,"May 25, 2004",112,23.4,4.71
York,S7,"May 25, 2004",74,20.3,4.71
York,S7,"May 25, 2004",63,19.0,4.71
York,S7,"May 25, 2004",75,19.5,4.71
York,S7,"May 25, 2004",58,19.8,4.71
York,S7,"May 25, 2004",73,20.1,4.71
York,S7,"May 25, 2004",60,19.0,4.71
York,S7,"May 25, 2004",119,22.8,4.71
York,S7,"May 25, 2004",124,23.4,4.71
York,S7,"May 25, 2004",95,20.0,4.71
York,S7,"May 25, 2004",103,20.6,4.71
York,S7,"May 25, 2004",85,21.2,4.71
York,S7,"May 25, 2004",52,18.3,4.71
York,S7,"May 25, 2004",47,16.9,4.71
